"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
256,-,16,Hd graphics 4600,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgilj.html,160 €,I7-4770
238,CD,64,Lenovo,10Uw00E0Mh,1.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hfhei.html,230 €,Intel Core i5
240,DVD-RW,2,Intel,Asus,2930,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dbhcb.html,30 €,Dual core x2
1024,-,16,Rx5700Xt,Asrock b450m,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjbji.html,395 €,R5 3600
1000,-,16,Radeon Rx Vega 11 Core Ddr4,B450 am4 fsb9200mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/epxfp.html,379 €,Ryzen 5 3400
,,,,,,,"Rīga, centrs",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmokef.html,,
3400,-,16,Asus dual rtx 3060 12gb v2,Gigabyte B450m Ds3H v2,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kelfp.html,580 €,Ryzen 5 3600
,,,,,,,"Rīga, centrs",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmoekn.html,,
1000,CD-RW,8,Ati 1024 mb,Intel Core,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/didhi.html,175 €,I5
240,DVD-RW,16,Intel,Intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elekl.html,50 €,Intel Core i5
256,-,8,Intel Hd Graphics 530,Fujitsu,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emxko.html,100 €,Intel i3-6100
480,-,16,Rx 550,Msi b85m-g43,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elege.html,170 €,I7 4770
1000,-,16,Geforce rtx3050 8gb gddr6,H410 fsb8000mts usb/sata3,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fienc.html,799 €,Core i7-11700
256,CD,8,2,Windows 11 Home,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnklm.html,255 €,Amd ryzen 3
,,,,,,,"Rīga, centrs",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnlbg.html,,
1000,-,16,Amd Radeon R9 M380,Imac,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcilo.html,450 €,Intel core i5
512,-,16,Geforce rtx 3060,Lenovo 3743,4.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hfmii.html,565 €,Ryzen 7 5700G
500,-,8,Intel hd,Hp,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fjobm.html,85 €,I5-3470
500,DVD-RW,4,Intel Hd Graphics2000,123,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eefme.html,81 €,Corei3-2100
620,DVD-RW,4,Intel Hd Graphics,Komparsa,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efdji.html,72 €,I3-2100
628,DVD-RW,8,Nvidia geforce 730,Hp elitedesk,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fbdhb.html,207 €,I5-6500
256,DVD,16,Hd graphics 2000,Dell,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bgicc.html,90 €,I5-2500
,,,,,,,"Daugavpils un raj., Daugavpils",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bndkmn.html,,
,,,,,,,"Rīga, Cits",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmpbnh.html,,
1000,-,16,Radeon R7 6x Core Ddr4,Amd a320 fsb9200mts,3800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcixc.html,319 €,Amd a10-9700
1250,DVD-RW,16,Geforce gtx980 4gb gddr5 8000mhz oc,Z170 Gaming X Ddr4,4000,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpcpo.html,269 €,Core i7-6700
640,DVD-RW,8,Integrated Intel Hd Graphics 2000,Hp compaq elite 8300 mt,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hcfml.html,60 €,I5-2400
512,-,48,Rtx 2080 ti 11gb,Msi b450m mortar max am4 ddr4,4.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddmcd.html,735 €,Ryzen 5 5600x
250,-,8,See pic,Intel,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpfexk.html,55 €,2.4 ghz
1000,-,16,Radeon Rdna2 on 4Gb/shading Units 716,A620 am5 fsb9200 ddr5,5400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmdic.html,869 €,Ryzen 7 7700X
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnbmfi.html,,
1000,-,16,Geforce gtx 1650 4gb,Socket 1700/ddr4/usb 3.2,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hgkpl.html,699 €,Corei5 13400F
1000,-,16,Radeon Rx Vega 11 Core Ddr4,B450 am4 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/cnlfl.html,499 €,Ryzen7 4700G
240,-,16,Gigabyte rx580 8gb,Gigabyte,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eexfd.html,360 €,I5
1000,-,16,Geforce rtx4070 12gb gddr6x hdmi,H410 fsb8000mts usb/sata3,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbifm.html,1 199 €,Core i9-10900
22,CD,2,Ibm,Ibm,386,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edfib.html,500 €,Ibm
1000,-,16,Radeon Pro 560,IMac 21.5 2017 4K,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hfbxd.html,699 €,Intel Core i5
80,CD,512,Apple,Apple,1.66,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dloen.html,150 €,Intel Core
240,DVD-RW,8,Nvida geforce 320m,Ssd,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxfig.html,140 €,Intel Core 2
1000,-,16,Sapphire rx 6650xt pulse gaming 8Gb,Gigabyte b550m ds3h,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kegdd.html,1 000 €,Amd ryzen5600
512,-,16,Nvidia geforce gtx 1660 ti 6gb,"Gigabyte h510m s2h v2, lga1200",4.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gfxhj.html,500 €,Intel Core i3
256,-,16,Hd grapcics 530,Fujitsu,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpcdh.html,99 €,I3-6100
6000,-,128,Geforce rtx4090 24gb gddr6x,X670 am5 fsb9200 ddr5 gaming,5700,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hhonn.html,4 879 €,Ryzen9 7950
1000,-,16,Geforce rtx3050 8gb gddr6 12000mhz,H310 fsb4800mts,5000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpdnk.html,699 €,Core i9-9900
128,-,4,Intel uhd graphics 1gb,Lenovo lnvnb161216,2.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmpbp.html,299 €,Intel Pentium
500,DVD-RW,4,Intel Hd Graphics,Msi7788,2.90,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/glooo.html,40 €,Intel Pentium
1000,-,32,Geforce Rtx3060 Ti 8Gb Gddr6,H410 fsb8000mts usb/sata3,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pcomp.html,789 €,Core i5 11400
300,-,8,Gigabyte geforce gtx950 2gb gddr5 pcie g,Asrock h110m-dgs,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dokmm.html,130 €,I3 6100
740,-,8,Gt 710 2gb,Msi h81m-e34,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ghmkj.html,80 €,I3-4170
500,-,16,Nvidia geforce rtx 4060ti,Gigabyte,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxdgg.html,899 €,Ryzen 5
256,DVD-RW,16,Hd graphics 2500,Lenovo,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fiikx.html,90 €,I5-3470
512,-,16,Gigabyte gaming oc pro rtx 3060 ti 8gb,Asus Prime B450-Plus,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/finjc.html,700 €,Ryzen 5 5500
500,-,32,Geforce rtx 4080 16gb,Lga 1700/ddr5,5.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elefi.html,2 399 €,I5-13600Kf
256,DVD,8,Hd graphics 2000,Dell,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ggplc.html,55 €,I3-2120
256,DVD-RW,16,Hd graphics 4600,Lenovo,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/jpjfb.html,150 €,I7-4770
1000,DVD-RW,16,Gtx 1650,Hp,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gepch.html,269 €,Intel i7 6700
1000,-,16,Radeon rx vega 8 core 4gb dddr4 dx11,Amd b450 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/cdjjl.html,529 €,Ryzen 5 5650G
6,CD,8,Intel Hd Graphics 4000,Windows 10 pro,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fbmjg.html,75 €,I5-3230M
1024,-,4,Amd Radeon Vega 8,Hp86F3,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcfdg.html,300 €,Amd ryzen 5
50,DVD,16,Msi gtx 1080 arero oc,Msi x79a gd45+,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/domme.html,545 €,Intel Core i7
240,-,8,Gigabyte geforce rtx 3050 eagle oc 8gb g,Asus prime a520m,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddfeb.html,499 €,Ryzen 5 3600
4096,DVD-RW,24,Nvidia Quadro Fx1800,Dell,2.67,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpgeh.html,140 €,Xeon X5650
512,CD,16,Intel(R) uhd graphics,Windows 11 Home,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixchl.html,600 €,I5-10300H
250,DVD-RW,4,Msi,Asus,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dbxco.html,12 €,Pentium D
512,CD,8,Amd Radeon Vega),Windows 11 Home,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/knemm.html,300 €,Amd ryzen5 45
440,DVD-RW,8,Встроенная - Intel Hd Graphics 2500,Hp Compaq Elite 8300 sff,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhbxj.html,70 €,Core i5-3470
1000,-,16,Geforce gtx1650 4gb gddr5 8000mhz,H610 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dcgkp.html,679 €,Core i5-13400
240,DVD,16,Gtx 1050ti 4Gb,Asus h110m-r,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eioxl.html,160 €,Pentium G4560
500,-,8,Intelhd6000,IMac 21 2015,1.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkojg.html,499 €,Intel Core i5
1000,DVD-RW,8,1050Ti,Msi B250 Gaming,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emhdg.html,350 €,I7-7700
1120,DVD-RW,8,Radeon hd 5850,H310Cm-Dvs,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dmkfg.html,220 €,I3 9100F
1,DVD-RW,4,Intergrated,Intel Desktop Board,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eekbj.html,65 €,I5-2500
1,CD-RW,4,Intergrated,Intel Desktop Board,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dppgl.html,30 €,I3-2100
1000,-,16,Intel uhd730 4gb ddr4 dx12,Intel H410 Fsb8000Mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lokjc.html,449 €,Core i7 10700
1000,-,16,Geforce rtx 4060ti 8gb,Am5/ddr5/,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fblbi.html,1 099 €,Zen 7 5800x3d
240,DVD-RW,16,Geforce gtx 680 (2gb),Intel,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkfoi.html,240 €,Core I5
1000,-,16,Geforce rtx 3060 12gb,Msi pro h610m-b,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/goxnf.html,690 €,I5-12400F
1240,-,32,Radeon R7 4Gb,Its,3.90,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hdngn.html,375 €,Intel Core i7
120,CD,8,N\v,Asus m597 le r2,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dbxom.html,80 €,Fx 6300
500,-,16,Geforce gt610 gddr3,Intel H61 4800Mts,3400,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ehxcn.html,99 €,I3-3240
128,DVD-RW,8,Intel,Dell,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gidge.html,70 €,E8400
120,CD,2,Iebūvēts,Gigabyte,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kjhco.html,60 €,E5300
465,-,16,Geforce rtx 2060,B460M d3h,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpbng.html,500 €,I3-10100
500,CD-RW,2,Nav zināms,Nav zināms,3.06,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkxnm.html,50 €,Pentium dualc
595,CD-RW,4,Nav zināms,Nav zināms,2.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gendh.html,50 €,Intel Core 2
1000,-,16,Geforce rtx 4070 12gb,Am5,5.00,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efxbj.html,1 399 €,Zen 7 7800x3d
,,,,,,,"Rīga, Cits",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxhji.html,,
1000,-,16,Geforce rtx3060 12gb gddr6,H410 fsb8000mts usb/sata3,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/egohx.html,869 €,Core i9-10900
,CD,,,,1,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hffxp.html,,Intel vs amd
500,-,32,Integrated Graphics Processor,Asus rog strix b550-e gaming,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/exbmn.html,690 €,Ryzen 9
,,,,,,,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ekidx.html,,
240,DVD-RW,16,Gtx 960 4gb,Asus,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/feilg.html,300 €,I5-4690S
1000,-,32,Asus tuf gaming rtx 4070 ti 12gb,Msi pro z690-a wi-fi,5.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dljin.html,1 950 €,I7 13700
1000,-,32,Zotac gaming twin edge rtx 4070 12gb oc,Asus Prime B550M-A,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlxjn.html,1 150 €,Ryzen 5 5600
2000,-,32,Msi ventus 3x oc rtx 4070 12gb,Asus rog strix z590-f wi-fi,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kecoj.html,1 590 €,I9 11900K
500,-,16,Asus Rog Strix 1070 8Gb Oc Edition,Asus Tuf B450 - Pro Gaming,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eihhm.html,490 €,Ryzen 5 3600
1000,-,8,Hd graphics 6000,Apple iMac,1.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/llbnm.html,250 €,Intel Core i5
500,-,8,Intel hd,Hp,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ehxjm.html,90 €,A8-8600B r6
500,-,8,Intel hd,Hp,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eelhc.html,80 €,A8-7600B
1000,-,16,"Intel uhd750 graphics on 4gb ddr4, dx12",New h610 fsb8000mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/plxlh.html,669 €,Core i7-12700
256,-,16,Rtx3070,H610m-e pro msi,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxmcb.html,569 €,I3-12100f
1024,-,16,Rtx3070,H610m-e pro msi,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlchx.html,629 €,I3-13100f
240,-,8,Intel Hd Graphics 630,Dell,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgpln.html,165 €,Core i5
240,DVD,8,Intel Hd Graphics 530,Hp,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bhkim.html,165 €,Core i5
256,-,16,Intel Hd Graphics 630,Dell,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixcxe.html,385 €,Core i5
256,-,16,Intel Hd Graphics 630,Dell,2.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/exnjm.html,385 €,Core i5
240,-,8,Intel Hd Graphics 530,Hp,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/epogi.html,150 €,Core i5
500,DVD-RW,8,Intel Hd graphics,Hp,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eexxg.html,50 €,Pentium G4400
250,DVD-RW,4,Intel Hd Graphics,Dell,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eghin.html,30 €,I3-3240
240,DVD-RW,8,Intel Hd Graphics,Lenovo,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kxkix.html,65 €,Pentium G5500
512,-,8,Geforce,Apple,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgpcg.html,290 €,I5
1000,DVD,16,Rtx 3070Ti,Asus z390,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/alidi.html,620 €,I7 8700k
1000,-,16,Radeon R7 6x Core Ddr4,A320 am4 fsb9200mts,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpfgx.html,339 €,Amd a12-9800
1000,-,32,Geforce Rtx4070 12Gb Gddr6 15.000Mhz,Intel H410 8000Mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bbmmgc.html,1 199 €,Core i7 10700
500,-,16,Intel Iris Pro 1536 Mb,Apple,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/keibh.html,300 €,I5 quad
,,,,,,,"Rīga, Cits",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnbdcl.html,,
1000,-,16,Geforce rtx3050 8gb gddr6,Intel H610 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kgcib.html,789 €,Core i5-13400
1000,-,16,Geforce gtx 1650 4gb,Lga1700/ddr4/usb3.2/sa ta3,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edild.html,699 €,I5-12400F
128,DVD-RW,4,Radeon hd8200,Hp,1.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/knfmi.html,25 €,Amd e1-2500
1500,-,4,Rx560,Asrock h310cm-hdv,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eofnh.html,220 €,Pentium gold
480,-,16,Rx580 4gb,Z68,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxmhn.html,230 €,I7 3770K
1000,-,16,Geforce rtx3070 8gb gddr6,Intel H610 8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxpmk.html,979 €,Core i5-12500
256,DVD-RW,8,Intel hd,Lenovo,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmmln.html,155 €,I3-2120
128,-,4,Intel Hd Grapfics 620,Lenovo lnvnb161216,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gdlln.html,170 €,Intel Core i3
1000,-,16,Radeon Vega 7 on 4Gb/shading Units 716,Amd b450 fsb9200mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kedlh.html,379 €,Ryzen 5 4600G
256,-,16,Hd grapcics 530,Lenovo,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxpmk.html,199 €,I7-6700
1000,-,16,Geforce Rtx4060 Ti 8Gb Gddr6,H410 fsb8000mts usb/sata3,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bgoxbj.html,919 €,Core i5-11400
1250,-,16,1080Ti,Z370 sli plus (ms74b6),3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjhoh.html,650 €,I7-9700k
1000,-,16,Rtx 3070,8 core duo,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejkhg.html,1 600 €,Ryzen 7 5800
240,-,16,Intel hd,Hp,4.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dmfbx.html,349 €,Intel Core i5
256,DVD-RW,16,Hd graphics 4600,Intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/cnjhp.html,115 €,I5-4460
1000,-,8,Kameras nav,Asus,2.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fhjin.html,300 €,I5-9400Asus
120,-,4,2,Intel,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpomp.html,69 €,Core i3-2100
1000,-,16,Gigabyte geforce rtx 2060 oc 6g rev. 2,B550M Steel Legend,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnhcp.html,580 €,Ryzen 5 5600X
256,DVD,8,Hd graphics 2000,Dell,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnelo.html,75 €,I5-2500
1000,-,32,Geforce rtx3070 8gb gddr6 14ghz,H610 fsb8000mts usb/sata3,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpigp.html,1 179 €,Core i7-12700
500,-,16,Zotac Gaming Geforce Gtx 1660super,Msi b450m-a pro max,4.00,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/didgl.html,520 €,Ryzen 3 4100
256,DVD,16,Hd graphics 4600,Lenovo,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dikog.html,99 €,I5-4590
256,DVD-RW,8,Hd graphics 4600,Intel,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fhfmi.html,110 €,I5-4590
1000,-,16,Geforce rtx3060 12gb ggdr6,H310 fsb4800mts,5000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxpnp.html,759 €,Core i9 9900
1,-,16,Gtx 1060 6gb,Msi b250m,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxpek.html,350 €,Intel i7 7700
1000,DVD,8,Nvidia Gefroce 730,Dell,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxfxm.html,50 €,I5
1,CD-RW,8,Radeon hd 6800,Asus p7p550-e lx,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gbhnx.html,40 €,Intel Core i5
1000,-,16,Geforce rtx 3050 8gb,Z790,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/jpjpp.html,1 299 €,I7-13700Kf
500,DVD-RW,8,Amd radeon hd 6750m,Apple,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnekx.html,305 €,Intel Core i5
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmpbmp.html,,
480,DVD-RW,8,Nvidia geforce gt240,Fujitsu,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/flcjk.html,120 €,Intel i3-6100
480,DVD-RW,8,Intel Hd video 530,Fujitsu Esprimo,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kxjpg.html,110 €,Intel i3-6100
256,DVD-RW,8,Hd graphics 4600,Lenovo,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/deblg.html,140 €,I7-4770S
628,DVD,8,Intel Hd Graphics 2000,Fujitsu,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnglh.html,75 €,I5-2400
1000,-,16,"Intel Uhd630 Graphics on 4Gb Ddr4, Dire",H410 fsb8000mts usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/opich.html,449 €,Core i7-10700
620,DVD-RW,16,Intel hd graphics 2000,Intel,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kghjj.html,50 €,Intel i5 2400
1256,-,32,11 gb zotac 1080ti amp,Msi z370m mortar,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gnjle.html,600 €,Intel i7-8700
,,,,,,,"Daugavpils un raj., Daugavpils",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnhlb.html,,
500,DVD-RW,4,Intel gma 3100,Gigabyte ga-g31m-es2l,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/flxci.html,30 €,Pentium E5400
1000,-,4,Radeon R7 6x Core Ddr4,A320 am4 fsb9200mts,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lojie.html,359 €,Amd a12-9800
,,,,,,,"Rīga, centrs",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmopfb.html,,
1000,-,8,Amd Radeon R7 200,Intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgjom.html,230 €,Intel Core i5
500,-,32,Amd radeon rx 580 4gb,Amd,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emjed.html,409 €,Amd ryzen 5
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmoped.html,,
1000,-,16,Geforce rtx3050 8gb gddr6 12000mhz,Intel H310 Fsb8000Mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fonoj.html,799 €,Core i7-11700
500,-,16,Intel Hd Graphics 730,Lga1700/ddr4/usb3.2/sa ta3,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hdpjk.html,499 €,I5-13400
1370,DVD-RW,12,Asus Gt630 2Gb,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpbbm.html,100 €,I7-3770
