"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
4,CD,4,Ati,Imac,667,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxomx.html,120 €,Imac
1000,-,16,Rtx 3070 8gb gaming oc gigabyte ( 3x fan,Asrock H510M-Hvs R2.0,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dopmj.html,698 €,I5 11400
128,CD,8,Iebūvetā,Lenovo,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lolkn.html,120 €,I5 6gen.
,,,,,,,"Rīga, centrs",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnldf.html,,
,,,,,,,"Rīga, Ķengarags",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnloh.html,,
320,DVD,8,Intel Hd Graphics 2000,Hewlett- Packard 1494,1.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kkkje.html,115 €,Intel Core i5
,,,,,,,"Rīga, Iļģuciems",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnhxb.html,10 €,
,,,,,,,"Rīga, centrs",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmpijj.html,,
1000,-,16,Geforce Gtx1650 4Gb Gddr5 8000Mhz,Intel H610 Fsb8000,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kegmd.html,679 €,Core i5-13400
,,,,,,,"Rīga, Ķengarags",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxxen.html,,
32,-,4,1280x720 pixels,Android,2.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dxhbk.html,400 €,Zebra tc52k
,,,,,,,"Rīga, Pārdaugava",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmogdp.html,,
1000,-,32,Radeon rx vega 8 core 4gb dddr4 dx11,Amd b450 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/flhxm.html,539 €,Ryzen 7 4700G
250,DVD-RW,8,Intel hd graphics pro,Asrock,3100,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eipxe.html,80 €,I5-3340
500,DVD-RW,8,Radeon 5400,Intel,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kxooi.html,40 €,Xeon E31220v3
,,,,,,,"Rīga, Purvciems",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bncfbf.html,,
,,,,,,,"Rīga, centrs",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/odldk.html,,
1240,-,32,Geforce gt 1030 2gb,B550M ds3h (am4),3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgdoj.html,300 €,Ryzen 5 3600X
2500,-,32,Geforce Rtx4080 16Gb,Amd X670 Pro,5400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bppihi.html,2 769 €,Ryzen 9 7900X
1000,-,16,Geforce rtx3070 8gb gddr6,Intel H410 8000Mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/loikn.html,989 €,Core i7-10700
1,-,32,Rtx 3070ti suprim,B550-F asus,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmngd.html,1 900 €,5800x
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnbxgc.html,,
1000,-,32,Geforce rtx4060 8gb gddr6,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hdhlo.html,979 €,Core i9-11900
3500,-,16,"Gigabyte rtx 3060 ti, 8gb",Asus prime b450-plus,4.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmxcm.html,900 €,Ryzen 7 2700
1024,-,16,Rx 6700xt,Msi,4.45,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ffjpd.html,650 €,I5-12400F
1000,-,32,Geforce rtx4070 12gb gddr6x,Amd b450 9200mts am4,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/keejl.html,1 449 €,Ryzen9 5950X
370,-,8,Integrēta videokarte: Intel,Intel,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkgji.html,35 €,I5-2400
1000,-,32,3080,Msi B450 Tomahawk max Ii,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddljj.html,1 450 €,Ryzen 5 5600x
512,-,16,Rx 6700xt,Asus b450,4.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fojno.html,560 €,Ryzen 5 5500
256,DVD-RW,4,Nvidia 512,Msi,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eiijc.html,110 €,Amd
1000,-,16,"Intel uhd750 graphics on 4gb ddr4, dx12",New h610 fsb8000mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pkllb.html,669 €,Core i7-12700
1000,-,8,Geforce gt730 4gb gddr5,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbpko.html,599 €,Core i9-11900
250,DVD-RW,2.00,Nvidia geforce 210,Intel,2.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fixjo.html,25 €,Intel Core Du
1000,-,32,Geforce rtx4070 ti 12gb gddr6x oc,New intel h610 fsb8000mts,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kibgl.html,1 779 €,Core i5-13600
500,-,10,Gtx970 4gb,Asus,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dmndj.html,215 €,I5-2400
140,DVD,2,Onbord,Dell Intel,1.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dppko.html,45 €,Intel Pentium
250,DVD-RW,4,Integreta videokarte,Dell,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bbbhn.html,135 €,I5-4570
250,DVD-RW,8,Integreta videokarte,Hp,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kkcix.html,125 €,I7 3770
500,DVD-RW,4,Integreta videokarte,Packard Bell,1.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gdkkb.html,65 €,E1 2500
512,DVD-RW,16,Rtx 3060 12gb,Lenovo,4.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dkodd.html,925 €,R5- 5600G
250,-,16,Intel Uhd Graphics 630 1536 Mb,Mac Mini,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dopfl.html,440 €,Intel 5
128,-,8,Gainward 2gb,Komplett,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbklj.html,165 €,Amd A8 6600K
6400,DVD-RW,32,Nvidia Quadro P1000 4Gb,Dell,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddhxo.html,650 €,Intel i7-6700
1000,-,16,Rx570,Msi h310 pro-m2 plus,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlhcp.html,450 €,I7-8700
1000,-,16,Geforce Gtx1650 4Gb Gddr5 8000Mhz,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hxpcb.html,559 €,Core i7-7700
120,DVD-RW,4,Intel Hd graphics 630,Dell optiplex 3050,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eblfg.html,130 €,I3-7100
