Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Saulgožu 27 [Karte],88 000 € (1 128.21 €/m²),9/10,Iļģuciems,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dmbhn.html,
Sarkandaugavas 26/6 [Karte],46 000 € (1 533.33 €/m²),4/5,Sarkandaugava,Hrušč.,,1,30 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ecgip.html,Parkošanas vieta
Palasta 9 [Karte],175 000 € (1 861.70 €/m²),2/3,Vecrīga,P. kara,,3,94 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/cjdom.html,Pirts
Stabu 87a [Karte],83 000 € (1 930.23 €/m²),4/5,centrs,Renov.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cdeji.html,Parkošanas vieta
Maskavas 281 [Karte],43 000 € (895.83 €/m²),8/12,Ķengarags,Čehu pr.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gdldx.html,Lodžija
Alīses 8 [Karte],52 000 € (1 130.43 €/m²),3/5,Āgenskalns,Specpr.,,2,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aibfp.html,
Madonas 21 [Karte],62 000 € (984.13 €/m²),5/16/lifts,Purvciems,Specpr.,,2,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bdldlj.html,"Lodžija, Parkošanas vieta"
Lēdurgas 24 [Karte],125 000 € (2 083.33 €/m²),7/9/lifts,Mangaļi,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/apijx.html,"Lodžija, Parkošanas vieta"
Kurzemes pr. 98 [Karte],46 000 € (1 352.94 €/m²),7/9/lifts,Imanta,602.,,1,34 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/diiic.html,Lodžija
Ozolciema 18 [Karte],89 000 € (1 141.03 €/m²),2/9/lifts,Ziepniekkalns,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/denhn.html,"Lodžija, Parkošanas vieta"
Višķu 13 [Karte],37 500 € (1 171.88 €/m²),2/5,Ķengarags,LT proj.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjfdl.html,Balkons
Lielā 59 [Karte],47 000 € (1 236.84 €/m²),3/5,Bolderāja,Specpr.,,1,38 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/agdnd.html,Lodžija
Arsenāla 7 [Karte],117 000 € (1 462.50 €/m²),3/5,Vecrīga,P. kara,,3,80 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/fhckj.html,
Zentenes 39 [Karte],47 500 € (1 283.78 €/m²),2/5,Imanta,LT proj.,01009043411,2,37 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hblbn.html,Lodžija
Rinkas 1 [Karte],40 000 € (727.27 €/m²),5/5,Vecmīlgrāvis,LT proj.,,3,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/aflic.html,Balkons
Kaivas 33 [Karte],175 000 € (1 750 €/m²),1/4/lifts,Mežciems,Jaun.,,3,100 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/dhilm.html,Terase
Maskavas 220a [Karte],61 700 € (1 045.76 €/m²),2/9/lifts,Krasta r-ns,467.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/abnep.html,"Lodžija, Parkošanas vieta"
Meldru 64 [Karte],48 000 € (888.89 €/m²),4/5,Vecmīlgrāvis,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ehpfo.html,Lodžija
Bieziņa 12 [Karte],68 500 € (925.68 €/m²),7/9/lifts,Zolitūde,119.,,3,74 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/cbfim.html,Balkons
Stirnu 37a [Karte],51 000 € (1 000 €/m²),6/9/lifts,Purvciems,602.,01009038205,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fccoj.html,"Balkons, Parkošanas vieta"
Elizabetes 21a [Karte],185 000 € (3 700 €/m²),3/5,centrs,Renov.,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajlgl.html,Balkons
Miera 5 [Karte],166 000 € (2 273.97 €/m²),2/6/lifts,centrs,Renov.,,3,73 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dbemd.html,Balkons
Lilijas 15a [Karte],55 000 € (1 037.74 €/m²),2/5,Iļģuciems,Hrušč.,,3,53 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/amnml.html,
Salaspils 12 к-4 [Karte],44 000 € (721.31 €/m²),5/5,Ķengarags,LT proj.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/boxpm.html,Balkons
Lomonosova 2 [Karte],105 000 € (1 265.06 €/m²),3/4,Maskavas priekšpilsēta,Staļina,,3,83 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/ffbff.html,
Anitas 4 [Karte],41 000 € (706.90 €/m²),1/2,Vecmīlgrāvis,Staļina,,3,58 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/edmnd.html,Parkošanas vieta
Miera 90 [Karte],112 000 € (1 750 €/m²),5/7/lifts,centrs,Specpr.,,3,64 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hdfol.html,
Atlantijas 30 [Karte],27 900 € (962.07 €/m²),3/4,Vecdaugava,Specpr.,,1,29 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecdaugava/olhml.html,Parkošanas vieta
Barona 49 [Karte],136 900 € (1 901.39 €/m²),2/7,centrs,P. kara,,3,72 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cpbfc.html,
Jasmuižas 18 [Karte],34 000 € (829.27 €/m²),9/9,Pļavnieki,M. ģim.,,1,41 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/cpkxb.html,Lodžija
Tomsona 17 [Karte],78 000 € (1 733.33 €/m²),1/5,centrs,P. kara,,2,45 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/enpbi.html,
Daugavpils 8a [Karte],47 000 € (1 305.56 €/m²),1/4,Maskavas priekšpilsēta,Jaun.,,2,36 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/ccppd.html,Parkošanas vieta
Deglava 7 [Karte],106 500 € (1 589.55 €/m²),4/6/lifts,centrs,Jaun.,,2,67 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dgilo.html,Parkošanas vieta
Ziepju 9 [Karte],54 000 € (1 000 €/m²),4/5,Ziepniekkalns,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ajjxk.html,Lodžija
Strēlnieku 8 [Karte],383 000 € (5 319.44 €/m²),2/7/lifts,centrs,Jaun.,,3,72 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bbkfc.html,Terase
Elizabetes 27 [Karte],235 000 € (2 670.45 €/m²),1/5,centrs,P. kara,,4,88 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bejein.html,
Ķeguma 39 [Karte],192 500 € (2 566.67 €/m²),2/4/lifts,Teika,Jaun.,,3,75 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/clfec.html,"Terase, Parkošanas vieta"
Bieziņa 10 [Karte],66 300 € (884 €/m²),5/9,Zolitūde,119.,,3,75 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ebojj.html,Lodžija
Barona 3 [Karte],308 000 € (1 750 €/m²),4/5/lifts,centrs,P. kara,,6,176 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gojmn.html,
Blaumaņa 9 [Karte],97 800 € (1 917.65 €/m²),1/6,centrs,Renov.,,2,51 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdjff.html,
Tīnūžu 4 [Karte],69 000 € (1 095.24 €/m²),2/9/lifts,Pļavnieki,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ebxem.html,Lodžija
Jaunciema g. 79 [Karte],25 500 € (637.50 €/m²),3/3,Jaunciems,Specpr.,,2,40 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/jaunciems/edbnf.html,
Brīvības gatve 281 [Karte],100 000 € (1 000 €/m²),4/5,Teika,Specpr.,,4,100 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/hcefb.html,"Lodžija, Parkošanas vieta"
Lemešu 11 [Karte],58 000 € (935.48 €/m²),1/9/lifts,Bolderāja,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ffilc.html,Lodžija
Teātra 12 [Karte],300 000 € (2 222.22 €/m²),3/7,Vecrīga,Renov.,,4,135 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/bxxgf.html,
Ģertrūdes 105 k-1 [Karte],215 000 € (1 131.58 €/m²),7/7/lifts,centrs,Specpr.,,5,190 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fjxix.html,"Terase, Parkošanas vieta"
Marijas 14a [Karte],48 060 € (2 670 €/m²),3/6/lifts,centrs,Renov.,,1,18 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agojx.html,Parkošanas vieta
Alūksnes 1a [Karte],20 500 € (1 281.25 €/m²),2/2,centrs,P. kara,,1,16 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adccn.html,Parkošanas vieta
Stabu 81 [Karte],92 900 € (844.55 €/m²),1/5,centrs,P. kara,,4,110 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhlin.html,
Ozolciema 44 [Karte],45 000 € (1 022.73 €/m²),4/9/lifts,Ziepniekkalns,M. ģim.,,1,44 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bjcbi.html,
Zalves 13 k-5 [Karte],35 500 € (785.40 €/m²),3/3,Šampēteris-Pleskodāle,Hrušč.,,2,45.20 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/cpfbi.html,Parkošanas vieta
Laboratorijas 5 [Karte],164 800 € (2 354.29 €/m²),2/2,centrs,Jaun.,,3,70 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gpxip.html,"Terase, Parkošanas vieta"
Laboratorijas 5 [Karte],144 800 € (2 323.86 €/m²),1/3,centrs,Jaun.,,3,62.31 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gcefc.html,Parkošanas vieta
Brīvības 142 [Karte],105 000 € (2 019.23 €/m²),6/6/lifts,centrs,Renov.,,2,52 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aflxi.html,Parkošanas vieta
Ziepju 9 [Karte],54 000 € (1 000 €/m²),4/5,Ziepniekkalns,103.,01000730584001039,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bglbg.html,Lodžija
Stabu 54 [Karte],99 500 € (1 809.09 €/m²),1/4,centrs,P. kara,,1,55 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahldm.html,
Brīvības 183/1 [Karte],120 800 € (1 725.71 €/m²),6/6,centrs,P. kara,,3,70 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bdxpe.html,Parkošanas vieta
Dzērvju 10 [Karte],39 600 € (792 €/m²),6/9,Krasta r-ns,467.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/delbj.html,Lodžija
Asara 4 [Karte],52 000 € (1 793.10 €/m²),2/3,centrs,P. kara,,1,29 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/exdjd.html,Parkošanas vieta
Kleistu 11 [Karte],53 000 € (841.27 €/m²),9/9/lifts,Imanta,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bexxck.html,Lodžija
Melīdas 6/3 [Karte],30 000 € (612.24 €/m²),2/5,Vecmīlgrāvis,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bxmdoh.html,Lodžija
Dzelzavas 31 [Karte],30 500 € (983.87 €/m²),2/5,Purvciems,LT proj.,,1,31 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aedhk.html,Balkons
Gobas 23 [Karte],39 500 € (877.78 €/m²),4/5,Bolderāja,Specpr.,,2,45 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ekknm.html,"Balkons, Parkošanas vieta"
Biķernieku 11 [Karte],182 000 € (1 956.99 €/m²),3/4,Teika,P. kara,,4,93 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/gxpch.html,Parkošanas vieta
Dzirciema 31 [Karte],99 650 € (1 245.63 €/m²),1/12,Iļģuciems,Specpr.,,4,80 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dobni.html,
Juglas 51 [Karte],29 500 € (951.61 €/m²),4/5,Jugla,Hrušč.,,1,31 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/dhgih.html,Parkošanas vieta
Tērbatas 16/18 [Karte],109 000 € (1 009.26 €/m²),5/5,centrs,P. kara,,Citi,108 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dopmp.html,
Dzirnavu 46a [Karte],249 750 € (2 938.24 €/m²),2/3,centrs,P. kara,,3,85 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aflck.html,Parkošanas vieta
Ģertrūdes 110 [Karte],40 000 € (784.31 €/m²),4/6,centrs,P. kara,,2,51 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ffnkd.html,
Mērsraga 9a [Karte],83 360 € (1 603.08 €/m²),1/3,Āgenskalns,Renov.,,2,52 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/hgkid.html,
Mērsraga 9a [Karte],166 896 € (1 438.76 €/m²),3/3,Āgenskalns,Renov.,,4,116 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ehcoc.html,Parkošanas vieta
Tērbatas 37 [Karte],114 800 € (1 350.59 €/m²),3/5,centrs,P. kara,,3,85 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/engek.html,Parkošanas vieta
Elizabetes 10b [Karte],340 000 € (2 207.79 €/m²),4/5/lifts,centrs,Renov.,,3,154 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aexdk.html,
Lokomotīves 54 [Karte],48 000 € (1 000 €/m²),3/12,Ķengarags,Čehu pr.,,2,48 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aixkb.html,"Balkons, Parkošanas vieta"
Kaivas 50 [Karte],58 000 € (1 526.32 €/m²),3/5/lifts,Mežciems,Jaun.,,1,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ejibg.html,
Slokas 183 [Karte],50 000 € (1 020.41 €/m²),3/9/lifts,Imanta,602.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aaaff.html,
Lielupes 1 k6 [Karte],31 000 € (704.55 €/m²),4/4,Bolderāja,Hrušč.,,2,44 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/gmeff.html,"Balkons, Parkošanas vieta"
Dammes 29 [Karte],48 800 € (995.92 €/m²),8/9,Imanta,602.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/afkkp.html,"Balkons, Parkošanas vieta"
Sarkandaugavas 26/3 [Karte],40 400 € (961.90 €/m²),2/5,Sarkandaugava,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bbkhid.html,
Saulkrastu 2 k1 [Karte],15 500 € (968.75 €/m²),1/2,Čiekurkalns,Renov.,01009138146,1,16 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/apojl.html,Parkošanas vieta
Valdeķu 68/1 [Karte],68 000 € (1 333.33 €/m²),4/9,Ziepniekkalns,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/bdobip.html,"Balkons, Parkošanas vieta"
Anniņmuižas bulvāris 41 [Karte],132 000 € (1 941.18 €/m²),23/24/lifts,Imanta,Jaun.,,2,68 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/achbe.html,
Rudens 5 [Karte],55 900 € (887.30 €/m²),7/9,Pļavnieki,602.,,3,63 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aiggf.html,"Lodžija, Parkošanas vieta"
Rostokas 8 [Karte],86 500 € (1 029.76 €/m²),4/9,Zolitūde,119.,,3,84 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/chlgd.html,
Ropažu 14 k-1 [Karte],168 000 € (2 847.46 €/m²),1/7/lifts,Teika,Jaun.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/fgxen.html,"Balkons, Parkošanas vieta"
Maskavas 260 k-3 [Karte],54 600 € (1 114.29 €/m²),3/5,Ķengarags,Hrušč.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bdmcfp.html,"Balkons, Parkošanas vieta"
Kristapa 10 [Karte],27 000 € (1 500 €/m²),3/4,Āgenskalns,M. ģim.,,1,18 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aalkh.html,Parkošanas vieta
Antonijas 16a [Karte],275 000 € (4 583.33 €/m²),1/6/lifts,centrs,Jaun.,,3,60 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdjmg.html,"Terase, Parkošanas vieta"
Prūšu 1 k-1 [Karte],29 500 € (983.33 €/m²),4/5,Ķengarags,LT proj.,,1,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbkkgf.html,"Balkons, Parkošanas vieta"
Dzeņu 3 [Karte],67 000 € (1 080.65 €/m²),3/9/lifts,Pļavnieki,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/agffl.html,Lodžija
Prūšu 20 [Karte],33 000 € (1 100 €/m²),2/5,Ķengarags,Hrušč.,,1,30 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fxnkl.html,
Dzirnavu 81 [Karte],355 000 € (3 988.76 €/m²),2/7/lifts,centrs,Jaun.,,3,89 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hglfd.html,"Terase, Parkošanas vieta"
Druvienas 36 [Karte],54 000 € (1 080 €/m²),9/9,Mežciems,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/dfmpc.html,"Lodžija, Parkošanas vieta"
Finiera 9 [Karte],54 000 € (964.29 €/m²),5/5,Bolderāja,103.,,2,56 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/gnnje.html,"Lodžija, Parkošanas vieta"
Grostonas 21 [Karte],300 000 € (2 803.74 €/m²),2/8/lifts,centrs,Jaun.,,3,107 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agoel.html,"Terase, Parkošanas vieta"
Maskavas 285 k-5 [Karte],35 000 € (813.95 €/m²),1/5,Ķengarags,LT proj.,,2,43 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/eblnb.html,
Brīvības 152 [Karte],73 500 € (1 470 €/m²),6/8,centrs,Specpr.,,2,50 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aekid.html,"Balkons, Lodžija, Parkošanas vieta"
Aglonas 12 [Karte],48 500 € (808.33 €/m²),3/5,Ķengarags,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ixibl.html,"Balkons, Parkošanas vieta"
Čaka 134 [Karte],170 000 € (2 236.84 €/m²),4/6/lifts,centrs,Jaun.,,2,76 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ghgke.html,"Lodžija, Parkošanas vieta"
Sesku 7/2 [Karte],35 000 € (833.33 €/m²),3/5,Pļavnieki,M. ģim.,,1,42 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fgdkg.html,"Lodžija, Parkošanas vieta"
Velkoņu 2 [Karte],44 000 € (956.52 €/m²),3/5,Bolderāja,103.,,2,46 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/enxdi.html,Parkošanas vieta
Ropažu 12 [Karte],145 000 € (2 230.77 €/m²),3/10/lifts,Teika,Jaun.,,1,65 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/bojfo.html,"Lodžija, Parkošanas vieta"
Baltezera 7 [Karte],55 000 € (1 195.65 €/m²),5/5,Jugla,Hrušč.,,2,46 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/fcihc.html,Balkons
Lokomotīves 30 [Karte],40 500 € (794.12 €/m²),2/2,Ķengarags,Staļina,,2,51 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/behkk.html,Parkošanas vieta
Kurzemes pr. 106 [Karte],65 000 € (1 031.75 €/m²),9/9,Imanta,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gicph.html,
Stūres 5 [Karte],35 000 € (700 €/m²),4/5,Iļģuciems,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/afkip.html,Lodžija
Ganu 1 [Karte],159 998 € (2 162.14 €/m²),3/4,centrs,Specpr.,,3,74 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahohi.html,
Čaka 70 [Karte],139 900 € (1 748.75 €/m²),2/6,centrs,P. kara,,3,80 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bfbxh.html,Parkošanas vieta
Hāpsalas 1k-2 [Karte],44 500 € (927.08 €/m²),3/5,Sarkandaugava,Hrušč.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bekeng.html,"Balkons, Parkošanas vieta"
Barona 14 [Karte],219 000 € (2 433.33 €/m²),2/5,centrs,Renov.,,3,90 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hhbfi.html,
Biķernieku 16 [Karte],175 000 € (2 611.94 €/m²),2/5/lifts,Teika,Jaun.,,3,67 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/afocg.html,"Balkons, Parkošanas vieta"
Raunas 64a [Karte],37 000 € (787.23 €/m²),2/4,Teika,103.,,2,47 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/gdxic.html,
Valdemāra 49 [Karte],267 000 € (2 870.97 €/m²),2/3,centrs,P. kara,,3,93 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajdgl.html,Parkošanas vieta
Ģertrūdes x [Karte],240 000 € (1 481.48 €/m²),4/5,centrs,P. kara,,5,162 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cnogx.html,
Ķeguma 52 [Karte],220 000 € (1 428.57 €/m²),5/5,Teika,Specpr.,,5,154 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/ekkxo.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Nīcgales 40 [Karte],83 000 € (1 185.71 €/m²),2/5,Purvciems,Specpr.,,3,70 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ecpib.html,Lodžija
Nīcgales 11 [Karte],55 000 € (1 410.26 €/m²),2/5,Purvciems,LT proj.,,2,39 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/didjf.html,"Balkons, Parkošanas vieta"
M. Lubānas 16 [Karte],48 000 € (979.59 €/m²),1/2,Maskavas priekšpilsēta,Hrušč.,,2,49 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/agilp.html,Parkošanas vieta
Sesku 1 [Karte],83 000 € (1 185.71 €/m²),2/5,Pļavnieki,Specpr.,,3,70 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ibofi.html,Lodžija
Republikas laukums 3 [Karte],210 000 € (2 625 €/m²),4/7/lifts,centrs,Jaun.,,3,80 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afcxn.html,Parkošanas vieta
