Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Ģertrūdes 24 [Karte],147 000 € (1 709.30 €/m²),5/5,centrs,P. kara,,3,86 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cbjhh.html,Parkošanas vieta
Klusā 20 [Karte],46 500 € (1 256.76 €/m²),2/6/lifts,centrs,Renov.,,1,37 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhogp.html,
Anniņmuižas 20 [Karte],155 000 € (1 462.26 €/m²),1/5/lifts,Zolitūde,Jaun.,,4,106 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ejdop.html,"Terase, Parkošanas vieta"
Slokas 132 [Karte],70 000 € (1 111.11 €/m²),7/9/lifts,Imanta,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ehdhd.html,Lodžija
Kurzemes pr. 122 [Karte],45 000 € (865.38 €/m²),7/9,Imanta,602.,11111,2,52 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gcpck.html,Lodžija
Birznieka-Upīša 26 [Karte],128 000 € (1 560.98 €/m²),1/5,centrs,P. kara,,3,82 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dlfjc.html,Parkošanas vieta
Altonavas 17 [Karte],31 500 € (1 125 €/m²),1/2,Torņakalns,P. kara,,2,28 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/epiid.html,
Sesku 11/5 [Karte],41 000 € (953.49 €/m²),5/5,Pļavnieki,M. ģim.,,1,43 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/biomh.html,Lodžija
Lilijas 13 [Karte],53 500 € (1 070 €/m²),1/2,Iļģuciems,P. kara,,2,50 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/elcgd.html,Parkošanas vieta
Abavas 1 [Karte],31 500 € (1 125 €/m²),1/2,Bieriņi,P. kara,,2,28 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bierini/gobnn.html,Terase
